毎	マイ;ごと;-ごとに	every	general
万	マン;バン;よろず	ten thousand	general
歩	ホ;ブ;フ;あるく;あゆむ	walk; counter for steps	general
母	ボ;はは;も	mama; mother	general
方	ホウ;かた;-かた;-がた	direction; person; alternative	general
北	ホク;きた	north	general
妹	マイ;いもうと	younger sister	general
聞	ブン;モン;きく;きこえる	hear; ask; listen	general
米	ベイ;マイ;メエトル;こめ;よね	rice; USA; metre	general
風	フウ;フ;かぜ;かざ-;-かぜ	wind; air; style; manner	general
分	ブン;フン;ブ;わける;わけ;わかれる;わかる;わかつ	part; minute of time; segment; share; degree; one's lot; duty; understand; know; rate; 1%; chances; shaku/100	general
父	フ;ちち	father	general
麦	バク;むぎ	barley; wheat	general
半	ハン;なかば	half; middle; odd number; semi-; part-	general
番	バン;つがい	turn; number in a series	general
買	バイ;かう	buy	general
売	バイ;うる;うれる	sell	general
南	ナン;ナ;みなみ	south	general
肉	ニク;しし	meat	general
馬	バ;うま;うま-;ま	horse	general
頭	トウ;ズ;ト;あたま;かしら;-がしら;かぶり	head; counter for large animals	general
同	ドウ;おなじ	same; agree; equal	general
道	ドウ;トウ;みち	road-way; street; district; journey; course; moral; teachings	general
読	ドク;トク;トウ;よむ;-よみ	read	general
内	ナイ;ダイ;うち	inside; within; between; among; house; home	general
冬	トウ;ふゆ	winter	general
刀	トウ;かたな;そり	sword; saber; knife	general
東	トウ;ひがし	east	general
当	トウ;あたる;あたり;あてる;あて;まさに;まさにべし	hit; right; appropriate; himself	general
答	トウ;こたえる;こたえ	solution; answer	general
朝	チョウ;あさ	morning; dynasty; regime; epoch; period; (North) Korea	general
長	チョウ;ながい;おさ	long; leader	general
鳥	チョウ;とり	bird; chicken	general
直	チョク;ジキ;ジカ;ただちに;なおす;-なおす;なおる;なおき;すぐ	straightaway; honesty; frankness; fix; repair	general
通	ツウ;ツ;とおる;とおり;-とおり;-どおり;とおす;とおし;-どおし;かよう	traffic; pass through; avenue; commute; counter for letters, notes, documents, etc.	general
弟	テイ;ダイ;デ;おとうと	younger brother; faithful service to elders	general
店	テン;みせ;たな	store; shop	general
点	テン;つける;つく;たてる;さす;とぼす;ともす;ぼち	spot; point; mark; speck; decimal point	general
電	デン	electricity	general
知	チ;しる;しらせる	know; wisdom	general
地	チ;ジ	ground; earth	general
池	チ;いけ	pond; cistern; pool; reservoir	general
茶	チャ;サ	tea	general
昼	チュウ;ひる	daytime; noon	general
谷	コク;たに;きわまる	valley	general
台	ダイ;タイ;うてな;われ;つかさ	pedestal; a stand; counter for machines and vehicles	general
体	タイ;テイ;からだ;かたち	body; substance; object; reality; counter for images	general
走	ソウ;はしる	run	general
多	タ;おおい;まさに;まさる	many; frequent; much	general
太	タイ;タ;ふとい;ふとる	plump; thick; big around	general
組	ソ;くむ;くみ;-ぐみ	association; braid; plait; construct; assemble; unite; cooperate; grapple	general
切	セツ;サイ;きる;-きる;きり;-きり;-ぎり;きれる;-きれる;きれ;-きれ;-ぎれ	cut; cutoff; be sharp	general
